#zeit : 	zahl d. Durchgänge :	drehung in grad : error fehlt noch
	
		
46801	447	4470
46821	448	4480
46841	449	4490
46861	449	4490
46881	450	4500
46901	451	4510
46921	452	4520
46941	452	4520
46961	453	4530
46981	454	4540
47001	455	4550
47021	455	4550
47041	456	4560
47061	457	4570
47081	458	4580
47101	458	4580
47121	459	4590
47141	460	4600
47161	460	4600
47181	461	4610
47201	462	4620
47221	462	4620
47241	463	4630
47261	464	4640
47281	464	4640
47301	465	4650
47321	465	4650
47341	466	4660
47361	467	4670
47381	467	4670
47401	468	4680
47421	469	4690
47441	469	4690
47461	470	4700
47481	470	4700
47501	471	4710
47521	472	4720
47541	472	4720
47561	473	4730
47581	474	4740
47601	474	4740
47621	475	4750
47641	476	4760
47661	476	4760
47681	477	4770
47701	477	4770
47721	478	4780
47741	479	4790
47761	479	4790
47781	480	4800
47801	481	4810
47821	481	4810
47841	482	4820
47861	482	4820
47881	483	4830
47901	484	4840
